date,open,high,low,close,volume,amount,code,name,industry,ret,is_extreme,hs300_close,商品,cpi_yoy,预测值,前值,m2_yoy
2020-01-02,26.7903512,27.4437744,26.55348529,26.59432424,101213040,3342373870.6,2,万科A,房地产,,False,4152.241,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-03,26.71684109,26.79851899,25.95723662,26.17776695,80553629,2584309903.29,2,万科A,房地产,-0.0157873577676604,False,4144.965,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-06,25.93273325,25.94090104,25.52434375,25.73670629,87684058,2761448649.61,2,万科A,房地产,-0.0169922275974956,False,4129.295,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-07,25.81838419,26.07975347,25.60602165,25.94090104,57793343,1827510871.94,2,万科A,房地产,0.0079026806097517,False,4160.227,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-08,25.5651827,25.94906883,25.36098795,25.87555872,52999684,1667143803.08,2,万科A,房地产,-0.0025220694327098,False,4112.317,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-09,26.25944485,26.52898192,26.01441115,26.3002838,78373446,2519927706.82,2,万科A,房地产,0.0162808856041375,False,4164.37,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-10,26.136928,26.31661938,25.60602165,25.69586734,55744373,1762516212.1,2,万科A,房地产,-0.0232495549202308,False,4163.185,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-13,25.6468606,25.95723662,25.53251154,25.87555872,62074912,1957169612.15,2,万科A,房地产,0.0069686693160934,False,4203.988,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-14,25.76937745,25.96540441,25.62235723,25.63869281,41971228,1322400772.1,2,万科A,房地产,-0.0091961960923629,False,4189.886,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-15,25.5651827,25.72037071,24.87908834,24.90359171,67294431,2071443624.89,2,万科A,房地产,-0.0290906098536987,False,4166.734,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-16,25.00977298,25.26297447,24.8300816,24.93626287,58139589,1779302393.93,2,万科A,房地产,0.0013110457466229,False,4149.043,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-17,25.00977298,25.19763215,24.76473928,24.87908834,47221927,1442665863.08,2,万科A,房地产,-0.0022954592797707,False,4154.853,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-20,24.9117595,24.91992729,24.11131608,24.39718873,91563767,2730988423.02,2,万科A,房地产,-0.0195597152389972,False,4185.83,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-21,24.14398724,24.38902094,23.70292658,23.85811459,81796927,2399809082.59,2,万科A,房地产,-0.0223435158283688,False,4114.309,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-22,23.8499468,24.78107486,23.83361122,24.59321569,93771024,2796437180.95,2,万科A,房地产,0.0303462260939928,False,4131.931,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-23,24.2583363,24.32367862,23.42522172,23.67025542,98694879,2884502300.28,2,万科A,房地产,-0.0382514056011061,False,4003.901,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-02-03,21.30976411,22.47775808,21.30159632,21.75082477,153086547,4119846241.35,2,万科A,房地产,-0.0845675370666953,False,3688.358,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-04,21.9713551,22.76363073,21.9713551,22.55943598,103628313,2838999600.3,2,万科A,房地产,0.0365017481553051,False,3785.638,中国CPI月率报告,1.4,0.8,0.4,8.8
