code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sh.601398,2020-03-15,2020-03-30,11.23,43.93,53.67,5472181883.61,1.31
sh.601398,2020-06-15,2020-06-30,12.08,48.09,50.57,469747068.62,0.56
sh.601398,2020-09-15,2020-09-30,11.53,49.9,55.18,2236628172.22,1.89
sh.601398,2020-12-15,2020-12-30,10.92,41.71,55.6,5360410852.52,0.59
sh.601398,2021-03-15,2021-03-30,14.44,47.85,49.43,2781239287.49,2.4
sh.601398,2021-06-15,2021-06-30,12.49,41.43,54.68,9630219305.31,0.55
sh.601398,2021-09-15,2021-09-30,12.8,48.9,51.7,2577404691.83,0.82
sh.601398,2021-12-15,2021-12-30,11.97,52.94,56.11,2871345579.76,1.75
sh.601398,2022-03-15,2022-03-30,14.72,49.65,50.82,7602676493.6,1.37
sh.601398,2022-06-15,2022-06-30,12.12,47.0,57.13,1068558190.44,1.41
sh.601398,2022-09-15,2022-09-30,9.36,40.39,54.31,6196915970.72,1.05
sh.601398,2022-12-15,2022-12-30,11.35,43.02,55.36,6296013165.57,1.16
sh.601398,2023-03-15,2023-03-30,14.06,45.05,52.3,6459950854.24,0.66
sh.601398,2023-06-15,2023-06-30,13.36,45.31,53.94,5797194360.97,2.54
sh.601398,2023-09-15,2023-09-30,14.49,39.43,60.87,3922416114.23,2.76
sh.601398,2023-12-15,2023-12-30,10.95,46.26,53.29,3257858739.91,0.62
sh.601398,2024-03-15,2024-03-30,12.61,48.82,55.98,8786972933.92,1.77
sh.601398,2024-06-15,2024-06-30,12.51,48.66,56.73,1856651483.42,1.06
sh.601398,2024-09-15,2024-09-30,13.95,47.75,54.94,7786488311.35,1.35
sh.601398,2024-12-15,2024-12-30,13.32,47.46,54.44,4347040871.01,2.36
sh.601398,2025-03-15,2025-03-30,14.33,48.66,58.59,8965679962.11,1.26
sh.601398,2025-06-15,2025-06-30,13.52,46.46,54.64,5777035092.42,2.6
sh.601398,2025-09-15,2025-09-30,12.68,54.42,52.23,7548507841.43,1.87
sh.601398,2025-12-15,2025-12-30,12.29,47.81,56.73,4994761016.56,0.68
