股票,代码,行业,年化均值,年化波动率,偏度,峰度,最大回撤
工商银行,601398,银行,0.0884,0.1613,0.4542,5.8554,-0.224
招商银行,600036,银行,0.037,0.2736,0.2718,3.284,-0.5464
比亚迪,002594,汽车,0.2895,0.4282,0.3132,2.1601,-0.5605
长城汽车,601633,汽车,0.1206,0.4457,0.4649,2.2496,-0.7988
万科A,000002,房地产,-0.329,0.3606,0.6548,3.3061,-0.9137
贵州茅台,600519,白酒,0.0445,0.2742,0.2635,3.6986,-0.5422
五粮液,000858,白酒,-0.0462,0.3414,0.095,3.4268,-0.7839
中国神华,601088,能源,0.2185,0.2965,0.3189,3.3476,-0.2353
中国移动,600941,通讯,0.1634,0.2472,0.6097,5.0942,-0.196
顺丰控股,002352,物流,0.0055,0.3198,0.3847,3.6973,-0.7567
